Sezione,Prodotto,Prezzo,Descrizione,Link immagine,dettaglio prodotto riga 1,dettaglio prodotto riga 2,dettaglio prodotto riga 3,dettaglio prodotto riga 4,Cod Prodotto
La Caffetteria,,,"Nella nostra caffetteria, ogni scelta è un invito a vivere un'esperienza unica, dove classici intramontabili come l'espresso energizzante si fondono con alternative salutari come orzo e ginseng, e pause di puro relax tra thè e tisane. Lasciatevi tentare dalla dolcezza di croissants e pasticciotti, o dalla coccola di una cioccolata calda, mentre esplorate varietà decaffeinate e creazioni con un tocco in più come il caffè corretto. Qui, il piacere di una pausa caffè si trasforma in un viaggio di sapori e aromi, accompagnato da delizie dolci e salate per ogni momento della giornata.",,,,,,1
La Caffetteria,Caffè Espresso,"€1,00","Un classico intramontabile, l'espresso che dà energia.",,,,,,2
La Caffetteria,Caffè Americano,"€1,30",Perfetto per chi ama diluire il momento del caffè nel tempo.,,,,,,3
La Caffetteria,Caffè Dec,"€1,20","Il piacere del caffè, senza la caffeina.",,,,,,4
La Caffetteria,Thè/Tisana,"€2,50",Una pausa di puro relax tra aromi e sapori.,,,,,,5
La Caffetteria,Espressino,"€1,30","Un piccolo lusso quotidiano, caffè con un velo di latte.",,,,,,6
La Caffetteria,Orzo/Ginseng,"€1,50",L'alternativa sana per un boost di energia.,,,,,,7
La Caffetteria,Cappuccino,"€1,50","L'abbinamento perfetto di caffè, latte e schiuma.",,,,,,8
La Caffetteria,Latte Macchiato,"€1,50","Dolce e avvolgente, per un inizio giornata morbido.",,,,,,9
La Caffetteria,Espressino Dec,"€1,50","L'espressino, ma decaffeinato.",,,,,,10
La Caffetteria,Cioccolata Calda,"€3,00","Una coccola densa e golosa, con un extra di panna su richiesta.",,,,,,11
La Caffetteria,Caffè Corretto,"€1,50",Per chi al caffè chiede un po' più di carattere.,,,,,,12
La Caffetteria,Mini Croissant,"€1,00",Piccolo peccato di gola mattutino.,,,,,,13
La Caffetteria,Croissant,"€1,20","L'ideale compagno del caffè, in versione dolce o salata.",,,,,,14
La Caffetteria,Croissant Salato Farcito,"€3,00",Un'esplosione di gusto in ogni morso.,,,,,,15
La Caffetteria,Crostata con Confettura,"€2,50",Tradizione e dolcezza in ogni fetta.,,,,,,16
La Caffetteria,Crostata con Confettura Vegana,"€3,00",Per chi cerca gusto e leggerezza.,,,,,,17
La Caffetteria,Pasticciotto,"€1,80",Il dolce abbraccio del Sud in un pasticcino.,,,,,,18
La Caffetteria,Frollino,"€1,00",La semplicità che delizia sempre.,,,,,,19
La Caffetteria,Tetta della Monaca,"€1,50",Un dolcetto dal cuore tenero e irresistibile.,,,,,,20
Bevande,,,"La nostra selezione di bevande è un viaggio attraverso freschezza, benessere e gusto, in cui l'essenziale purezza dell'acqua si incontra con la vivacità delle toniche e l'indimenticabile sapore dei classici come Coca e Fanta. Dai momenti di puro rilassamento con un Crodino o un Cocktail San Pellegrino, alle pause energizzanti di un Red Bull, fino alle fresche infusione di The Pesca o Limone per rinfrescare le vostre estati. Ogni sorso è pensato per accompagnare il vostro momento con la giusta nota di sapore, offrendovi una vasta gamma di scelte naturali, frizzanti e piene di carattere.",,,,,,21
Bevande,Acqua,"€1,00",La freschezza essenziale per ogni momento.,,,,,,22
Bevande,Acqua Biosalus,"€2,50",Quando l'acqua incontra il benessere.,,,,,,23
Bevande,Tonica,"€2,50",Per chi ama le sensazioni frizzanti.,,,,,,24
Bevande,Coca/Coca Zero,"€2,50",Il classico che non tramonta mai.,,,,,,25
Bevande,Crodino,"€2,50",L'aperitivo analcolico per eccellenza.,,,,,,26
Bevande,Cocktail San Pellegrino,"€2,50",Frizzantezza e gusto in ogni sorso.,,,,,,27
Bevande,Fanta,"€2,50",L'arancia che disseta e diverte.,,,,,,28
Bevande,Lemon Soda,"€2,50",L'acidulo che rinfresca.,,,,,,29
Bevande,Red Bull,"€3,00",Per quelli che cercano ali.,,,,,,30
Bevande,The Pesca/Limone,"€3,00",L'infusione fredda per un'estate in città.,,,,,,31
Bevande,Campari Soda,"€3,00","L'aperitivo iconico, amaro e intrigante.",,,,,,32
Bevande,Succo di Frutta,"€2,50",La dolcezza naturale in diverse varianti.,,,,,,33
Birra,,,"La nostra offerta alla spina celebra l'arte brassicola con la Viola, una birra artigianale che seduce i veri intenditori e invita alla condivisione nei momenti speciali. Che optiate per un intimo calice da 0,40 lt o decidiate di condividere la generosità di una bottiglia da 75 cl, la Viola si rivela la scelta perfetta per brindisi autentici, dove il gusto ricercato incontra la convivialità e il piacere del sorseggiare insieme.",,,,,,34
Birra,"Viola Spina 0,40 lt","€6,00",Birra artigianale per veri intenditori.,,,,,,35
Birra,Viola 75 cl,"€15,00","Da condividere, per momenti speciali.",,,,,,36
Vini & Spiriti,,,"La nostra selezione di Vini & Spiriti è un viaggio sensoriale che vi conduce attraverso vigneti prestigiosi e distillerie rinomate. Dalle bollicine esuberanti di Franciacorta ai brindisi eccelsi con Champagne, fino all'eleganza del whisky giapponese Akashi e alla complessità del rum Diplomatico, ogni sorso racconta una storia unica. Scoprite la varietà dei nostri distillati, dalle note fresche del Dente di Leone alla cremosità del Baileys, passando per l'intensità di Barcelò Imperial e il mistero del Kraken. Un'esperienza che celebra la diversità e la ricchezza dei sapori di tutto il mondo, pensata per soddisfare i palati più raffinati.",,,,,,37
Vini & Spiriti,Calice (a salire secondo etichetta),"€5,00",Un viaggio attraverso i vigneti più prestigiosi.,,,,,,38
Vini & Spiriti,Calice Franciacorta,"€8,00",La bollicina italiana per eccellenza.,,,,,,39
Vini & Spiriti,Calice Champagne,"€15,00",Per brindisi indimenticabili.,,,,,,40
Vini & Spiriti,Akashi (tutti i distillati sono porzioni regular),"€10,00",L'eleganza del whisky giapponese.,,,,,,41
Vini & Spiriti,Dente di Leone,"€6,00",Un amaro dalle note sorprendentemente fresche.,,,,,,42
Vini & Spiriti,Baileys,"€4,00",La cremosità dell'Irlanda in un sorso.,,,,,,43
Vini & Spiriti,Barcelò Imperial,"€12,00",Il rum che racconta storie di terre lontane.,,,,,,44
Vini & Spiriti,Cardamaro,"€8,00",L'amaro con un cuore di cardo.,,,,,,45
Vini & Spiriti,Clarin Casimir,"€8,00","Un distillato esotico, diretto da Haiti.",,,,,,46
Vini & Spiriti,Diplomatico,"€8,00",La dolcezza e complessità del Venezuela.,,,,,,47
Vini & Spiriti,Don Papa,"€8,00","Il rum filippino, ricco e avvolgente.",,,,,,48
Vini & Spiriti,Grappa Amarone,"€8,00",La forza dell'Italia in un distillato.,,,,,,49
Vini & Spiriti,Grappa Franciacorta,"€4,00",La raffinatezza del territorio in una grappa.,,,,,,50
Vini & Spiriti,Jagermeister,"€4,00",Per gli amanti delle spezie e delle erbe.,,,,,,51
Vini & Spiriti,Jefferson,"€6,00",Un bourbon dal cuore americano.,,,,,,52
Vini & Spiriti,Kraken,"€8,00","Il rum scuro come la notte, intenso e misterioso.",,,,,,53
Vini & Spiriti,Limoncello,"€4,00",Il sapore dell'estate italiana in ogni goccia.,,,,,,54
Vini & Spiriti,Sambuca,"€2,50",La dolce tentazione anice.,,,,,,55
Vini & Spiriti,Talisker,"€10,00",Un single malt per veri intenditori.,,,,,,56
Bollicine & Franciacorta,,,"La nostra gamma di Bollicine & Franciacorta celebra l'eleganza e la diversità, da Bellavista a Ca del Bosco, fino alle prestigiose note di Cristal e Veuve Clicquot. Scelte raffinate per brindisi memorabili, ogni bottiglia è una promessa di freschezza, lusso e momenti unici.",,,,,,57
Bollicine & Franciacorta,Bellavista Alma Brut,"€45,00",Eleganza e freschezza in ogni bollicina.,,,,,,58
Bollicine & Franciacorta,Bellavista Dosage Zero,"€50,00",Per chi ama la purezza delle bollicine.,,,,,,59
Bollicine & Franciacorta,Bellavista Rosè,"€55,00",Un tocco di colore e vivacità nel bicchiere.,,,,,,60
Bollicine & Franciacorta,Bellavista Teatro La Scala,"€55,00","Un'ode alla grandezza, limitata e speciale.",,,,,,61
